ano_agricola,dsc_safra_previsao,uf,produto,id_produto,dsc_levantamento,id_levantamento,area_plantada_mil_ha,producao_mil_t,producao_acucar_mil_t,producao_etanol_anidro_mil_l,producao_etanol_hidratado_mil_l,producao_etanol_total_mil_l,produtcao_atr_kg_t
2017/18,UNICA,AC,CANA DE ACUCAR,4238,1º LEV,1,1.9,104.2,0.0,0.0,6700.0,6700.0,108.7
2017/18,UNICA,AC,CANA DE ACUCAR,4238,2º LEV,2,1.9,106.5,0.0,0.0,6463.2,6463.2,102.6
2017/18,UNICA,AC,CANA DE ACUCAR,4238,LEVANT,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/18,UNICA,AL,CANA DE ACUCAR,4238,1º LEV,1,301.7,15538.0,1326.5,246107.0,49624.0,295731.0,123.0
2017/18,UNICA,AL,CANA DE ACUCAR,4238,2º LEV,2,325.2,16850.6,1553.2,268717.5,62905.0,331622.4,131.2
2017/18,UNICA,AL,CANA DE ACUCAR,4238,LEVANT,99,303.8,13646.9,1064.9,217373.0,109529.0,326902.0,123.6
2017/18,UNICA,AM,CANA DE ACUCAR,4238,1º LEV,1,3.6,276.4,14.2,0.0,6449.0,6449.0,93.3
2017/18,UNICA,AM,CANA DE ACUCAR,4238,2º LEV,2,3.6,276.4,14.6,0.0,6642.1,6642.1,96.1
2017/18,UNICA,AM,CANA DE ACUCAR,4238,LEVANT,99,3.6,222.1,11.9,0.0,4845.0,4845.0,93.1
2017/18,UNICA,BA,CANA DE ACUCAR,4238,1º LEV,1,39.3,3106.0,143.8,70883.0,68664.0,139547.0,126.2
2017/18,UNICA,BA,CANA DE ACUCAR,4238,2º LEV,2,43.4,3172.1,135.8,56173.2,95801.3,151974.6,127.3
2017/18,UNICA,BA,CANA DE ACUCAR,4238,LEVANT,99,47.1,3539.7,160.1,74714.0,105931.0,180645.0,135.3
2017/18,UNICA,CE,CANA DE ACUCAR,4238,1º LEV,1,0.8,40.0,0.0,0.0,2795.0,2795.0,118.2
2017/18,UNICA,CE,CANA DE ACUCAR,4238,2º LEV,2,0.8,40.0,0.0,0.0,2862.4,2862.4,121.0
2017/18,UNICA,CE,CANA DE ACUCAR,4238,LEVANT,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/18,UNICA,ES,CANA DE ACUCAR,4238,1º LEV,1,45.5,2228.6,83.3,86162.0,20908.0,107070.0,123.3
2017/18,UNICA,ES,CANA DE ACUCAR,4238,2º LEV,2,47.2,2114.9,94.8,71480.3,17541.7,89022.0,120.7
2017/18,UNICA,ES,CANA DE ACUCAR,4238,LEVANT,99,47.6,2380.7,126.8,77370.0,13282.0,90652.0,122.7
2017/18,UNICA,GO,CANA DE ACUCAR,4238,1º LEV,1,939.7,70404.3,2394.4,1287132.0,3064190.0,4351322.0,141.6
2017/18,UNICA,GO,CANA DE ACUCAR,4238,2º LEV,2,930.8,70265.1,2327.2,1083653.5,3224625.5,4308279.0,139.6
2017/18,UNICA,GO,CANA DE ACUCAR,4238,LEVANT,99,911.6,70622.0,2234.6,1060506.0,3445990.0,4506496.0,142.2
2017/18,UNICA,MA,CANA DE ACUCAR,4238,1º LEV,1,38.9,2097.5,20.9,131978.8,19230.1,151208.9,137.0
2017/18,UNICA,MA,CANA DE ACUCAR,4238,2º LEV,2,38.5,2050.5,19.7,120285.4,20050.0,140335.4,130.2
2017/18,UNICA,MA,CANA DE ACUCAR,4238,LEVANT,99,38.0,2220.5,22.6,142972.0,19688.0,162660.0,139.3
2017/18,UNICA,MG,CANA DE ACUCAR,4238,1º LEV,1,841.6,65670.3,4512.6,1023881.0,1422769.6,2446650.6,136.3
2017/18,UNICA,MG,CANA DE ACUCAR,4238,2º LEV,2,825.5,64513.8,4464.8,1033564.1,1462780.1,2496344.1,139.3
2017/18,UNICA,MG,CANA DE ACUCAR,4238,LEVANT,99,824.9,65017.4,4237.3,1005722.0,1715029.0,2720751.0,140.3
2017/18,UNICA,MS,CANA DE ACUCAR,4238,1º LEV,1,643.6,49829.6,1532.2,819356.0,1184082.0,2003438.0,101.5
2017/18,UNICA,MS,CANA DE ACUCAR,4238,2º LEV,2,660.4,50453.7,1615.4,958237.9,1815937.9,2774175.8,128.0
2017/18,UNICA,MS,CANA DE ACUCAR,4238,LEVANT,99,666.0,46940.2,1491.7,866264.0,1765958.0,2632222.0,129.6
2017/18,UNICA,MT,CANA DE ACUCAR,4238,1º LEV,1,221.8,15936.4,315.0,529755.0,585565.0,1115320.0,141.6
2017/18,UNICA,MT,CANA DE ACUCAR,4238,2º LEV,2,233.1,16940.0,391.2,586680.8,637957.5,1224638.3,149.1
2017/18,UNICA,MT,CANA DE ACUCAR,4238,LEVANT,99,226.9,16101.9,410.5,511939.0,593676.0,1105615.0,145.2
2017/18,UNICA,PA,CANA DE ACUCAR,4238,1º LEV,1,13.9,938.1,50.9,38636.0,5126.0,43762.0,138.9
2017/18,UNICA,PA,CANA DE ACUCAR,4238,2º LEV,2,13.9,938.1,50.9,38636.0,5126.0,43762.0,138.9
2017/18,UNICA,PA,CANA DE ACUCAR,4238,LEVANT,99,13.5,976.7,45.9,43472.0,8086.0,51558.0,141.9
2017/18,UNICA,PB,CANA DE ACUCAR,4238,1º LEV,1,124.4,5874.7,216.0,167001.0,136826.0,303827.0,128.1
2017/18,UNICA,PB,CANA DE ACUCAR,4238,2º LEV,2,125.0,6189.4,224.3,210469.6,111729.2,322198.8,128.6
2017/18,UNICA,PB,CANA DE ACUCAR,4238,LEVANT,99,119.6,5829.5,159.0,183734.0,180164.0,363898.0,136.5
2017/18,UNICA,PE,CANA DE ACUCAR,4238,1º LEV,1,259.5,13693.5,1009.7,140292.0,233138.0,373430.0,124.3
2017/18,UNICA,PE,CANA DE ACUCAR,4238,2º LEV,2,240.7,11860.4,936.2,129810.2,144387.5,274197.7,122.7
2017/18,UNICA,PE,CANA DE ACUCAR,4238,LEVANT,99,223.2,10819.0,756.8,91985.0,227334.0,319319.0,124.0
2017/18,UNICA,PI,CANA DE ACUCAR,4238,1º LEV,1,15.6,970.7,70.7,18368.0,0.0,18368.0,109.8
2017/18,UNICA,PI,CANA DE ACUCAR,4238,2º LEV,2,15.6,967.1,79.3,20597.4,0.0,20597.4,123.6
2017/18,UNICA,PI,CANA DE ACUCAR,4238,LEVANT,99,15.7,850.0,63.0,19577.0,823.0,20400.0,120.1
2017/18,UNICA,PR,CANA DE ACUCAR,4238,1º LEV,1,624.6,39947.4,2978.2,568782.0,745261.0,1314043.0,134.9
2017/18,UNICA,PR,CANA DE ACUCAR,4238,2º LEV,2,600.8,38713.5,3015.0,578922.8,654886.7,1233809.5,136.7
2017/18,UNICA,PR,CANA DE ACUCAR,4238,LEVANT,99,583.7,37477.4,2929.5,584979.0,702864.0,1287843.0,141.3
2017/18,UNICA,RJ,CANA DE ACUCAR,4238,1º LEV,1,28.0,1754.4,16.0,0.0,45000.0,45000.0,53.0
2017/18,UNICA,RJ,CANA DE ACUCAR,4238,2º LEV,2,17.5,1273.1,114.3,0.0,17393.2,17393.2,117.3
2017/18,UNICA,RJ,CANA DE ACUCAR,4238,LEVANT,99,17.5,872.1,35.4,0.0,46416.0,46416.0,132.6
2017/18,UNICA,RN,CANA DE ACUCAR,4238,1º LEV,1,58.4,2814.4,185.5,43783.0,20652.0,64435.0,109.0
2017/18,UNICA,RN,CANA DE ACUCAR,4238,2º LEV,2,55.1,2575.3,188.9,46778.4,19411.9,66190.3,121.8
2017/18,UNICA,RN,CANA DE ACUCAR,4238,LEVANT,99,57.8,2516.1,160.6,32032.0,44959.0,76991.0,119.7
2017/18,UNICA,RO,CANA DE ACUCAR,4238,1º LEV,1,2.5,118.2,0.0,0.0,8000.0,8000.0,114.5
2017/18,UNICA,RO,CANA DE ACUCAR,4238,2º LEV,2,2.5,107.7,0.0,0.0,7000.0,7000.0,109.9
2017/18,UNICA,RO,CANA DE ACUCAR,4238,LEVANT,99,1.8,78.0,0.0,0.0,4444.0,4444.0,96.4
2017/18,UNICA,RS,CANA DE ACUCAR,4238,1º LEV,1,1.1,54.8,0.0,0.0,3500.0,3500.0,108.0
2017/18,UNICA,RS,CANA DE ACUCAR,4238,2º LEV,2,1.1,54.8,0.0,0.0,3500.0,3500.0,108.0
2017/18,UNICA,RS,CANA DE ACUCAR,4238,LEVANT,99,1.2,44.8,0.0,0.0,2485.0,2485.0,93.8
2017/18,UNICA,SE,CANA DE ACUCAR,4238,1º LEV,1,42.8,1698.9,85.6,25026.0,43280.0,68306.0,122.0
2017/18,UNICA,SE,CANA DE ACUCAR,4238,2º LEV,2,44.0,1755.3,92.4,26977.7,54085.9,81063.5,134.5
2017/18,UNICA,SE,CANA DE ACUCAR,4238,LEVANT,99,37.0,1718.8,96.2,24031.0,46113.0,70144.0,128.8
2017/18,UNICA,SP,CANA DE ACUCAR,4238,1º LEV,1,4558.4,352214.0,24964.1,6338642.2,5919745.5,12258387.7,134.6
2017/18,UNICA,SP,CANA DE ACUCAR,4238,2º LEV,2,4509.2,352803.9,24069.3,5745577.4,6573910.0,12319487.3,131.9
2017/18,UNICA,SP,CANA DE ACUCAR,4238,LEVANT,99,4558.4,349200.5,23859.1,5942501.0,7144554.0,13087055.0,136.3
2017/18,UNICA,TO,CANA DE ACUCAR,4238,1º LEV,1,30.8,2315.2,0.0,116430.0,79800.0,196230.0,147.1
2017/18,UNICA,TO,CANA DE ACUCAR,4238,2º LEV,2,30.8,2315.2,0.0,116430.0,79800.0,196230.0,147.1
2017/18,UNICA,TO,CANA DE ACUCAR,4238,LEVANT,99,30.6,2187.6,0.0,115747.0,60566.0,176313.0,140.2
2018/19,UNICA,AC,CANA DE ACUCAR,4238,1º LEV,1,1.7,54.7,0.0,0.0,3331.0,3331.0,103.0
2018/19,UNICA,AC,CANA DE ACUCAR,4238,LEVANT,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018/19,UNICA,AL,CANA DE ACUCAR,4238,1º LEV,1,301.7,13339.1,1107.3,225413.0,113997.0,339410.0,131.4
2018/19,UNICA,AL,CANA DE ACUCAR,4238,2º LEV,2,286.2,15647.9,1220.6,291407.2,102300.2,393707.4,125.8
2018/19,UNICA,AL,CANA DE ACUCAR,4238,3º LEV,3,284.1,15944.7,1180.5,266958.0,184327.0,451285.0,126.8
2018/19,UNICA,AL,CANA DE ACUCAR,4238,4º LEV,4,293.2,16201.8,1194.8,180350.0,310059.0,490409.0,129.4
2018/19,UNICA,AL,CANA DE ACUCAR,4238,LEVANT,99,293.2,16201.8,1194.8,180350.0,310059.0,490409.0,129.4
2018/19,UNICA,AM,CANA DE ACUCAR,4238,1º LEV,1,3.5,241.7,13.4,0.0,5478.0,5478.0,96.5
2018/19,UNICA,AM,CANA DE ACUCAR,4238,2º LEV,2,3.5,276.3,19.6,0.0,6052.0,6052.0,93.0
2018/19,UNICA,AM,CANA DE ACUCAR,4238,3º LEV,3,3.5,237.0,12.5,0.0,5468.0,5468.0,94.5
2018/19,UNICA,AM,CANA DE ACUCAR,4238,4º LEV,4,3.5,236.9,12.5,0.0,5468.0,5468.0,94.6
2018/19,UNICA,AM,CANA DE ACUCAR,4238,LEVANT,99,3.5,236.9,12.5,0.0,5468.0,5468.0,94.6
2018/19,UNICA,BA,CANA DE ACUCAR,4238,1º LEV,1,44.6,3525.5,147.7,65495.0,104915.0,170410.0,127.1
2018/19,UNICA,BA,CANA DE ACUCAR,4238,2º LEV,2,38.4,3219.9,92.4,71800.0,106800.0,178600.0,131.3
2018/19,UNICA,BA,CANA DE ACUCAR,4238,3º LEV,3,39.1,3515.4,115.7,71800.0,147000.0,218800.0,141.3
2018/19,UNICA,BA,CANA DE ACUCAR,4238,4º LEV,4,43.5,3742.9,108.0,80210.0,165488.0,245698.0,142.9
2018/19,UNICA,BA,CANA DE ACUCAR,4238,LEVANT,99,43.5,3742.9,108.0,80210.0,165488.0,245698.0,142.9
2018/19,UNICA,ES,CANA DE ACUCAR,4238,1º LEV,1,45.3,2403.6,88.6,94795.0,19025.0,113820.0,121.7
2018/19,UNICA,ES,CANA DE ACUCAR,4238,2º LEV,2,45.3,3019.0,135.0,108960.0,22281.0,131241.0,111.3
2018/19,UNICA,ES,CANA DE ACUCAR,4238,3º LEV,3,44.9,3155.5,130.0,106220.0,35176.0,141396.0,121.5
2018/19,UNICA,ES,CANA DE ACUCAR,4238,4º LEV,4,46.7,3174.1,146.9,111542.0,25751.0,137293.0,124.3
2018/19,UNICA,ES,CANA DE ACUCAR,4238,LEVANT,99,46.7,3174.1,146.9,111542.0,25751.0,137293.0,124.3
2018/19,UNICA,GO,CANA DE ACUCAR,4238,1º LEV,1,909.8,71135.7,2110.6,1361472.0,3447179.0,4808651.0,146.9
2018/19,UNICA,GO,CANA DE ACUCAR,4238,2º LEV,2,917.1,70949.8,5797.9,1194064.0,4544551.0,5738615.0,164.9
2018/19,UNICA,GO,CANA DE ACUCAR,4238,3º LEV,3,909.8,69095.1,1749.7,1079557.1,3980000.0,5059557.1,151.6
2018/19,UNICA,GO,CANA DE ACUCAR,4238,4º LEV,4,917.1,70001.4,1670.0,715990.0,4197093.0,4913083.0,144.5
2018/19,UNICA,GO,CANA DE ACUCAR,4238,LEVANT,99,917.1,70001.4,1670.0,686734.0,4035481.0,4722215.0,139.9
2018/19,UNICA,MA,CANA DE ACUCAR,4238,1º LEV,1,37.2,2258.3,23.9,138918.0,23036.0,161954.0,136.9
2018/19,UNICA,MA,CANA DE ACUCAR,4238,2º LEV,2,35.0,2027.4,0.0,126291.0,19250.0,145541.0,137.7
2018/19,UNICA,MA,CANA DE ACUCAR,4238,3º LEV,3,35.3,2068.4,21.8,137047.7,25100.0,162147.7,148.5
2018/19,UNICA,MA,CANA DE ACUCAR,4238,4º LEV,4,35.3,1964.3,21.8,122828.0,25088.0,147916.0,143.6
2018/19,UNICA,MA,CANA DE ACUCAR,4238,LEVANT,99,35.3,1964.3,21.8,122828.0,25088.0,147916.0,143.6
